gene,presenca
cysE,0
bdhA,0
yhcX,0
hfq,0
dhaS,0
trpA,1
trpB,0
trpC,1
trpD,1
trpE,1
sinR,0
ilvB,0
acuC,0
luxS,0
rpoN,1
csrA,1
flgM,1
ywkB,0
speE,0
alsD,0
alsR,1
crr,1
fliA,0
iolU,1
msmX,0
phytase,1
pksS,1
slrR,1
speG,1
tagA,1
trpF,1
wecB,0
ylbF,0
ymcA,0
ysnE,1
hslR,0
opuAA,0
opuAB,0
opuAC,0
gdh,0
cspC,0
groES,0
treP,0
treR,1
acoA,0
bcp,0
cspB,0
cspD,0
zwf,0
ywdH,0
alsS,0
amhX,0
bioI,1
bltD,1
bsaA,1
groEL,0
ioIW,1
opuD,0
phzF,1
tuaD,1
ycdF,0
ktrA,0
speA,0
ktrC,0
moaD,1
ktrD,0
mgtE,0
corA,0
moaC,0
nasD,0
speB,0
narG,0
narH,0
narJ,0
narI,0
moaA,0
dhbA,1
dhbB,1
dhbC,1
dhbE,0
dhbF,1
ilvH,0
ktrB,1
mdtJ,1
moaB,0
moaE,0
narK,0
narP,0
nasE,0
nrgA,0
nrgB,0
potA,1
treA,1
sigH,0
sigW,0
bglC,0
yxeN,0
ecsA,0
ecsB,1
lacG,1
xynP,0
xynB,0
xynD,0
ggt,0
spo0A,0
efp,0
sinI,1
tasA,0
sodA,0
yqeK,0
tpx,0
csn,0
yvrC,1
epsL,1
epsK,1
epsI,1
epsG,0
epsE,0
epsB,0
flgK,1
tagO,0
alsS,0
xynA,0
pta,0
bglS,0
RBAM_007500,1
RBAM_007510,0
yfnF,1
RBAM_030380,0
fhuD,0
trxB,0
RBAM_032090,0
RBAM_036940,1
abrB,0
bpr,1
comP,1
cspR,0
ecsC,1
epsA,1
epsC,0
epsD,1
epsF,1
epsH,1
epsJ,1
epsM,1
epsN,1
epsO,1
fliD,1
galE1,1
galK1,1
galT1,1
ganA,1
hag,1
lacE,1
lacF,1
lacR,1
lytS,0
pel,1
pgm,0
resE,0
sacB,0
sfp,1
sipW,1
srfA,1
srfB,1
srfC,0
srfD,1
swrA,0
swrB,1
swrC,0
tuaA,1
tufA,0
ycdH,0
yckI,0
yckJ,0
yckK,0
yclQ,1
yczE,1
yfiQ,1
yflE,0
yhfE,0
yhxB,0
yqxM,1
ysdC,0
ytmK,0
ytmL,1
ytmM,1
ytmN,0
yurJ,1
yurK,0
yurL,1
yurM,0
yurN,0
yurO,0
yurP,0
yurR,1
yusV,0
yycO,1
dnaA,0
cysK,0
cysE,0
secE,0
secY,0
ecfT,0
glnT,0
glsA,1
phoD,0
natK,0
natR,0
natA,0
natB,0
znuA,0
znuC,0
znuB,0
srfAA,0
srfAB,1
srfAC,0
tcyC,0
tcyB,0
rapC,0
phrC,0
dctS,0
dctR,0
ydfH,0
ydfI,0
ydfJ,0
gmuG,0
rapH,0
phrH,0
yesM,0
yesN,0
lplA,0
lplB,0
lplC,0
fecD,0
citT,0
citM,0
acyP,0
mprF,0
ssuB,0
ssuA,0
ssuC,0
ssuD,0
phoA,0
bioY,0
comK,0
cysC,0
sat,0
oppA,0
oppB,0
oppC,0
oppD,0
oppF,0
metI,0
rapA,0
phrA,0
dppC,0
dppD,0
dppE,0
kinE,0
kinD,0
motB,0
motA,0
mcpC,0
kinA,0
cheV,0
kinC,0
pdhA,0
pdhB,0
glsA,0
pyc,0
ctaA,0
cysH,0
sat,0
cysC,0
ftsY,0
ffh,0
