gene,presenca
cysE,0
bdhA,0
yhcX,0
hfq,0
dhaS,0
trpA,0
trpB,0
trpC,1
trpD,1
trpE,1
sinR,0
ilvB,0
acuC,0
luxS,0
rpoN,1
csrA,1
flgM,1
ywkB,0
speE,0
alsD,1
alsR,1
crr,1
fliA,0
iolU,1
msmX,0
phytase,1
pksS,1
slrR,1
speG,1
tagA,0
trpF,1
wecB,0
ylbF,0
ymcA,0
ysnE,1
hslR,0
opuAA,0
opuAB,0
opuAC,0
gdh,1
cspC,0
groES,0
treP,0
treR,1
acoA,0
bcp,0
cspB,0
cspD,0
zwf,0
ywdH,1
alsS,0
amhX,1
bioI,1
bltD,1
bsaA,0
groEL,0
ioIW,1
opuD,0
phzF,1
tuaD,1
ycdF,0
ktrA,1
speA,0
ktrC,0
moaD,1
ktrD,0
mgtE,0
corA,1
moaC,0
nasD,1
speB,0
narG,1
narH,1
narJ,1
narI,1
moaA,1
dhbA,1
dhbB,1
dhbC,1
dhbE,0
dhbF,1
ilvH,0
ktrB,1
mdtJ,1
moaB,0
moaE,1
narK,1
narP,0
nasE,1
nrgA,0
nrgB,0
potA,1
treA,1
sigH,0
sigW,0
bglC,1
yxeN,0
ecsA,0
ecsB,1
lacG,1
xynP,0
xynB,0
xynD,0
ggt,1
spo0A,0
efp,0
sinI,1
tasA,1
sodA,0
yqeK,0
tpx,0
csn,1
yvrC,1
epsL,1
epsK,1
epsI,1
epsG,1
epsE,1
epsB,1
flgK,1
tagO,0
alsS,0
xynA,1
pta,0
bglS,0
RBAM_007500,1
RBAM_007510,0
yfnF,1
RBAM_030380,1
fhuD,1
trxB,0
RBAM_032090,0
RBAM_036940,1
abrB,0
bpr,1
comP,1
cspR,0
ecsC,1
epsA,1
epsC,1
epsD,1
epsF,1
epsH,1
epsJ,1
epsM,1
epsN,1
epsO,1
fliD,1
galE1,1
galK1,1
galT1,1
ganA,1
hag,1
lacE,1
lacF,1
lacR,1
lytS,1
pel,1
pgm,0
resE,0
sacB,1
sfp,1
sipW,1
srfA,1
srfB,1
srfC,1
srfD,1
swrA,0
swrB,1
swrC,1
tuaA,1
tufA,0
ycdH,1
yckI,0
yckJ,0
yckK,0
yclQ,1
yczE,1
yfiQ,1
yflE,1
yhfE,0
yhxB,0
yqxM,1
ysdC,0
ytmK,1
ytmL,1
ytmM,1
ytmN,1
yurJ,1
yurK,1
yurL,1
yurM,1
yurN,1
yurO,1
yurP,1
yurR,1
yusV,0
yycO,1
dnaA,0
cysK,0
cysE,0
secE,0
secY,0
ecfT,0
glnT,1
glsA,1
phoD,1
natK,1
natR,0
natA,0
natB,1
znuA,1
znuC,1
znuB,1
srfAA,1
srfAB,1
srfAC,1
tcyC,0
tcyB,0
rapC,1
phrC,1
dctS,0
dctR,1
ydfH,1
ydfI,1
ydfJ,1
gmuG,1
rapH,1
phrH,1
yesM,1
yesN,1
lplA,1
lplB,1
lplC,1
fecD,1
citT,1
citM,0
acyP,1
mprF,1
ssuB,1
ssuA,0
ssuC,0
ssuD,0
phoA,1
bioY,1
comK,1
cysC,1
sat,1
oppA,1
oppB,1
oppC,1
oppD,0
oppF,0
metI,0
rapA,1
phrA,1
dppC,0
dppD,0
dppE,0
kinE,1
kinD,1
motB,1
motA,0
mcpC,1
kinA,1
cheV,0
kinC,1
pdhA,0
pdhB,0
glsA,0
pyc,0
ctaA,0
cysH,0
sat,0
cysC,0
ftsY,0
ffh,0
