gene,presenca
cysE,0
bdhA,0
yhcX,0
hfq,0
dhaS,0
trpA,0
trpB,0
trpC,0
trpD,0
trpE,0
sinR,0
ilvB,0
acuC,0
luxS,0
rpoN,0
csrA,0
flgM,0
ywkB,0
speE,0
alsD,0
alsR,0
crr,0
fliA,0
iolU,0
msmX,0
phytase,0
pksS,0
slrR,0
speG,0
tagA,0
trpF,0
wecB,0
ylbF,0
ymcA,0
ysnE,0
hslR,0
opuAA,0
opuAB,0
opuAC,0
gdh,0
cspC,0
groES,0
treP,0
treR,0
acoA,0
bcp,0
cspB,0
cspD,0
zwf,0
ywdH,0
alsS,0
amhX,0
bioI,0
bltD,0
bsaA,0
groEL,0
ioIW,0
opuD,0
phzF,0
tuaD,0
ycdF,0
ktrA,0
speA,0
ktrC,0
moaD,0
ktrD,0
mgtE,0
corA,0
moaC,0
nasD,0
speB,0
narG,0
narH,0
narJ,0
narI,0
moaA,0
dhbA,0
dhbB,0
dhbC,0
dhbE,0
dhbF,0
ilvH,0
ktrB,1
mdtJ,0
moaB,0
moaE,0
narK,0
narP,0
nasE,0
nrgA,0
nrgB,0
potA,0
treA,0
sigH,0
sigW,0
bglC,0
yxeN,0
ecsA,0
ecsB,0
lacG,0
xynP,0
xynB,0
xynD,0
ggt,0
spo0A,0
efp,0
sinI,0
tasA,0
sodA,0
yqeK,0
tpx,0
csn,0
yvrC,0
epsL,0
epsK,0
epsI,0
epsG,0
epsE,0
epsB,0
flgK,0
tagO,0
alsS,0
xynA,0
pta,0
bglS,0
RBAM_007500,1
RBAM_007510,0
yfnF,0
RBAM_030380,0
fhuD,0
trxB,0
RBAM_032090,0
RBAM_036940,0
abrB,0
bpr,0
comP,1
cspR,0
ecsC,0
epsA,0
epsC,0
epsD,0
epsF,0
epsH,0
epsJ,0
epsM,0
epsN,0
epsO,0
fliD,0
galE1,0
galK1,0
galT1,0
ganA,0
hag,1
lacE,0
lacF,0
lacR,0
lytS,0
pel,0
pgm,0
resE,0
sacB,0
sfp,0
sipW,0
srfA,1
srfB,0
srfC,0
srfD,0
swrA,0
swrB,0
swrC,0
tuaA,0
tufA,0
ycdH,0
yckI,0
yckJ,0
yckK,0
yclQ,0
yczE,0
yfiQ,0
yflE,0
yhfE,0
yhxB,0
yqxM,0
ysdC,0
ytmK,0
ytmL,0
ytmM,0
ytmN,0
yurJ,0
yurK,0
yurL,0
yurM,0
yurN,0
yurO,0
yurP,0
yurR,0
yusV,0
yycO,0
dnaA,0
cysK,0
cysE,0
secE,0
secY,0
ecfT,1
glnT,1
glsA,1
phoD,1
natK,1
natR,1
natA,1
natB,1
znuA,1
znuC,0
znuB,1
srfAA,1
srfAB,1
srfAC,1
tcyC,0
tcyB,0
rapC,1
phrC,1
dctS,1
dctR,1
ydfH,1
ydfI,1
ydfJ,1
gmuG,1
rapH,1
phrH,1
yesM,1
yesN,1
lplA,1
lplB,1
lplC,1
fecD,1
citT,1
citM,1
acyP,1
mprF,1
ssuB,1
ssuA,1
ssuC,1
ssuD,1
phoA,1
bioY,1
comK,1
cysC,1
sat,1
oppA,1
oppB,0
oppC,0
oppD,1
oppF,0
metI,0
rapA,1
phrA,1
dppC,1
dppD,1
dppE,1
kinE,1
kinD,1
motB,1
motA,0
mcpC,1
kinA,1
cheV,1
kinC,1
pdhA,1
pdhB,0
glsA,1
pyc,0
ctaA,1
cysH,0
sat,1
cysC,1
ftsY,0
ffh,0
